page	imdb	title	orig	en	year	group	cast	douban
3e563eef5ca38170bef5e0736b23fa61	tt7282468	燃烧	버닝	Burning	2018	一起看过	Yoo Ah-in, Steven Yeun	https://movie.douban.com/subject/26842702/
3e563eef5ca3819690f8ce06d339cd1b	tt26440619	红色天空	Roter Himmel	Afire	2023	一起看过	Thomas Schubert, Paula Beer
3e563eef5ca38117bab3ec66e315850f	tt0069947	豺狼的日子		The Day of the Jackal	1973	一起看过	Edward Fox, Terence Alexander
3e563eef5ca381cc984bd46a2a51844a	tt0038109	爱德华大夫		Spellbound	1945	一起看过	Ingrid Bergman, Gregory Peck
3e563eef5ca381cabaade63cec278080	tt32880592	在溪边	수유천	By the Stream	2024	一起看过	Kwon Hae-hyo, Kim Min-hee
3e563eef5ca381a0a39dc30ef7dd2cd8	tt0108394	蓝	Trois couleurs: Bleu	Three Colors: Blue	1993	一起看过	Juliette Binoche, Zbigniew Zamachowski
3e563eef5ca38165a9a6d93b6526cc27	tt0244316	一一		Yi Yi	2000	一起看过	Nien-Jen Wu, Elaine Jin
3e563eef5ca38105bcaaf8e4333d5a46	tt7010412	大佛普拉斯		The Great Buddha+	2017	一起看过	Cres Chuang, Bamboo Chu-Sheng Chen
3e563eef5ca3815a9f15d5cceb52e0a8	tt0084248	烈火青春		Nomad	1982	一起看过	Patricia Ha, Kent Tong
3e563eef5ca381fdb5aacb891aa38f7f	tt0102926	沉默的羔羊		The Silence of the Lambs	1991	一起看过	Jodie Foster, Anthony Hopkins
3e563eef5ca381c19005ed68910cdb3a	tt4613272	路边野餐		Kaili Blues	2015	一起看过	Yongzhong Chen, Feiyang Luo
3e563eef5ca38109800cffb46daf14e1	tt0769507	太阳照常升起		The Sun Also Rises	2007	一起看过	Wen Jiang, Joan Chen
3e563eef5ca381929d7bdcd276f833f7	tt0117151	南国再见，南国	南國再見，南國	Goodbye South, Goodbye	1996	我自己看的	King Jieh-Wen, Kuei-Ying Hsu
3e563eef5ca381fca130e4297cf731f0	tt0070917	异教徒		The Wicker Man	1973	我自己看的	Edward Woodward, Christopher Lee
3e563eef5ca3819d9254d30ace49217a	tt0117905	甜蜜蜜		Comrades: Almost a Love Story	1996	我自己看的	Maggie Cheung, Leon Lai
3e563eef5ca381428553ddd0692e5210	tt33095194	里斯本丸沉没		The Sinking of the Lisbon Maru	2023	我自己看的	Fang Li
3e563eef5ca3811b8835f775522a4760	tt0190332	卧虎藏龙	臥虎藏龍	Crouching Tiger, Hidden Dragon	2000	我自己看的	Chow Yun-Fat, Michelle Yeoh
3e563eef5ca381b1bc17cab0ef90c80a	tt1479138	我的团长我的团		My Chief & My Regiment	2009	我自己看的	Wang Wang, Fredrik Jörnebo
3e563eef5ca38196874ad671c25af6e0	tt0189219	小城之春		Spring in a Small Town	1948	我自己看的	Chaoming Cui, Wei Li
3e563eef5ca3818fbfc0f2bf097f021d	tt0043139	我这一辈子		Life of a Beijing Policeman	1950	我自己看的	Hui Shi, Heling Wei
3e563eef5ca381e5b104e5cc14a0a190	tt8875366	过春天		The Crossing	2018	我自己看的	Yao Huang, Sunny Sun
3e563eef5ca381eeb17de4b37970a545	tt28350709	但愿人长久		Fate of the Moonlight	2025	我自己看的	Yajia Lian, Haipeng Xu
3e563eef5ca3810d9f64c1e0074d5c13	tt29002950	狂野时代		Resurrection	2025	我自己看的	Jackson Yee, Shu Qi
3e563eef5ca3810394eff71660a1052a	tt0085533	风柜来的人	風櫃來的人	The Boys from Fengkuei	1983	我自己看的	Doze Niu, Shih Chang
3e563eef5ca38105b6f0d861a1873361	tt0244316	一一		Yi Yi	2000	我自己看的	Nien-Jen Wu, Elaine Jin
3e563eef5ca38122aa56fda4b1a07278	tt6412864	独自在夜晚的海边	밤의 해변에서 혼자	On the Beach at Night Alone	2017	我自己看的	Kim Min-hee, Seo Young-hwa
